vbs,vgs,vrg,irg
0,0,-7.00E-06,-7.00E-08
0,0.2,-6.00E-06,-6.00E-08
0,0.4,-5.00E-06,-5.00E-08
0,0.6,1.37E-04,1.37E-06
0,0.8,1.71E-03,1.71E-05
0,1,5.89E-03,5.89E-05
0,1.2,1.27E-02,1.27E-04
0,1.4,2.21E-02,2.21E-04
0,1.6,3.38E-02,3.38E-04
0,1.8,4.77E-02,4.77E-04
0,2,6.34E-02,6.34E-04
-2,0,-6.80E-06,-6.80E-08
-2,0.2,-6.80E-06,-6.80E-08
-2,0.4,-6.70E-06,-6.70E-08
-2,0.6,-6.00E-06,-6.00E-08
-2,0.8,-6.00E-06,-6.00E-08
-2,1,-5.00E-06,-5.00E-08
-2,1.2,1.74E-04,1.74E-06
-2,1.4,2.26E-03,2.26E-05
-2,1.6,7.45E-03,7.45E-05
-2,1.8,1.56E-02,1.56E-04
-2,2,2.64E-02,2.64E-04
-4,0,-1.00E-06,-1.00E-08
-4,0.2,-2.00E-06,-2.00E-08
-4,0.4,-2.20E-06,-2.20E-08
-4,0.6,-2.30E-06,-2.30E-08
-4,0.8,-2.40E-06,-2.40E-08
-4,1,-2.40E-06,-2.40E-08
-4,1.2,-2.40E-06,-2.40E-08
-4,1.4,1.00E-06,1.00E-08
-4,1.6,3.06E-04,3.06E-06
-4,1.8,2.93E-03,2.93E-05
-4,2,8.82E-03,8.82E-05