vsg,vsd,irg
1,0.00E+00,-9.48E-19
1,1.00E-01,7.42E-06
1,2.00E-01,1.11E-05
1,3.00E-01,1.16E-05
1,4.00E-01,1.19E-05
1,5.00E-01,1.21E-05
1,6.00E-01,1.23E-05
1,7.00E-01,1.24E-05
1,8.00E-01,1.26E-05
1,9.00E-01,1.28E-05
1,1.00E+00,1.29E-05
1,1.10E+00,1.31E-05
1,1.20E+00,1.32E-05
1,1.30E+00,1.33E-05
1,1.40E+00,1.35E-05
1,1.50E+00,1.36E-05
1,1.60E+00,1.37E-05
1,1.70E+00,1.38E-05
1,1.80E+00,1.39E-05
1,1.90E+00,1.40E-05
1,2.00E+00,1.41E-05
1,2.10E+00,1.42E-05
1,2.20E+00,1.43E-05
1,2.30E+00,1.44E-05
1,2.40E+00,1.45E-05
1,2.50E+00,1.46E-05
1,2.60E+00,1.47E-05
1,2.70E+00,1.47E-05
1,2.80E+00,1.48E-05
1,2.90E+00,1.49E-05
1,3.00E+00,1.50E-05
1,3.10E+00,1.51E-05
1,3.20E+00,1.51E-05
1,3.30E+00,1.52E-05
1,3.40E+00,1.53E-05
1,3.50E+00,1.54E-05
1,3.60E+00,1.54E-05
1,3.70E+00,1.55E-05
1,3.80E+00,1.56E-05
1,3.90E+00,1.57E-05
1,4.00E+00,1.57E-05
1,4.10E+00,1.58E-05
1,4.20E+00,1.59E-05
1,4.30E+00,1.59E-05
1,4.40E+00,1.60E-05
1,4.50E+00,1.60E-05
1,4.60E+00,1.61E-05
1,4.70E+00,1.62E-05
1,4.80E+00,1.62E-05
1,4.90E+00,1.63E-05
1,5.00E+00,1.64E-05
1,5.10E+00,1.64E-05
1,5.20E+00,1.65E-05
1,5.30E+00,1.65E-05
1,5.40E+00,1.66E-05
1,5.50E+00,1.66E-05
1,5.60E+00,1.67E-05
1,5.70E+00,1.68E-05
1,5.80E+00,1.68E-05
1,5.90E+00,1.69E-05
1,6.00E+00,1.69E-05
1,6.10E+00,1.70E-05
1,6.20E+00,1.70E-05
1,6.30E+00,1.71E-05
1,6.40E+00,1.71E-05
1,6.50E+00,1.72E-05
1,6.60E+00,1.72E-05
1,6.70E+00,1.73E-05
1,6.80E+00,1.74E-05
1,6.90E+00,1.74E-05
1,7.00E+00,1.75E-05
1,7.10E+00,1.75E-05
1,7.20E+00,1.76E-05
1,7.30E+00,1.76E-05
1,7.40E+00,1.77E-05
1,7.50E+00,1.77E-05
1,7.60E+00,1.78E-05
1,7.70E+00,1.78E-05
1,7.80E+00,1.78E-05
1,7.90E+00,1.79E-05
1,8.00E+00,1.79E-05
1,8.10E+00,1.80E-05
1,8.20E+00,1.80E-05
1,8.30E+00,1.81E-05
1,8.40E+00,1.81E-05
1,8.50E+00,1.82E-05
1,8.60E+00,1.82E-05
1,8.70E+00,1.83E-05
1,8.80E+00,1.83E-05
1,8.90E+00,1.84E-05
1,9.00E+00,1.84E-05
1,9.10E+00,1.84E-05
1,9.20E+00,1.85E-05
1,9.30E+00,1.85E-05
1,9.40E+00,1.86E-05
1,9.50E+00,1.86E-05
1,9.60E+00,1.87E-05
1,9.70E+00,1.87E-05
1,9.80E+00,1.88E-05
1,9.90E+00,1.88E-05
1,1.00E+01,1.88E-05
1,1.01E+01,1.89E-05
1,1.02E+01,1.89E-05
1,1.03E+01,1.90E-05
1,1.04E+01,1.90E-05
1,1.05E+01,1.91E-05
1,1.06E+01,1.91E-05
1,1.07E+01,1.91E-05
1,1.08E+01,1.92E-05
1,1.09E+01,1.92E-05
1,1.10E+01,1.93E-05
1,1.11E+01,1.93E-05
1,1.12E+01,1.93E-05
1,1.13E+01,1.94E-05
1,1.14E+01,1.94E-05
1,1.15E+01,1.95E-05
1,1.16E+01,1.95E-05
1,1.17E+01,1.95E-05
1,1.18E+01,1.96E-05
1,1.19E+01,1.96E-05
1,1.20E+01,1.97E-05
1,1.21E+01,1.97E-05
1,1.22E+01,1.97E-05
1,1.23E+01,1.98E-05
1,1.24E+01,1.98E-05
1,1.25E+01,1.99E-05
1,1.26E+01,1.99E-05
1,1.27E+01,1.99E-05
1,1.28E+01,2.00E-05
1,1.29E+01,2.00E-05
1,1.30E+01,2.01E-05
1,1.31E+01,2.01E-05
1,1.32E+01,2.01E-05
1,1.33E+01,2.02E-05
1,1.34E+01,2.02E-05
1,1.35E+01,2.02E-05
1,1.36E+01,2.03E-05
1,1.37E+01,2.03E-05
1,1.38E+01,2.04E-05
1,1.39E+01,2.04E-05
1,1.40E+01,2.04E-05
1,1.41E+01,2.05E-05
1,1.42E+01,2.05E-05
1,1.43E+01,2.05E-05
1,1.44E+01,2.06E-05
1,1.45E+01,2.06E-05
1,1.46E+01,2.07E-05
1,1.47E+01,2.07E-05
1,1.48E+01,2.07E-05
1,1.49E+01,2.08E-05
1,1.50E+01,2.08E-05
3,0.00E+00,-1.28E-16
3,1.00E-01,3.45E-05
3,2.00E-01,6.83E-05
3,3.00E-01,1.01E-04
3,4.00E-01,1.33E-04
3,5.00E-01,1.64E-04
3,6.00E-01,1.95E-04
3,7.00E-01,2.24E-04
3,8.00E-01,2.52E-04
3,9.00E-01,2.79E-04
3,1.00E+00,3.05E-04
3,1.10E+00,3.30E-04
3,1.20E+00,3.54E-04
3,1.30E+00,3.76E-04
3,1.40E+00,3.97E-04
3,1.50E+00,4.17E-04
3,1.60E+00,4.35E-04
3,1.70E+00,4.52E-04
3,1.80E+00,4.66E-04
3,1.90E+00,4.80E-04
3,2.00E+00,4.91E-04
3,2.10E+00,5.00E-04
3,2.20E+00,5.07E-04
3,2.30E+00,5.12E-04
3,2.40E+00,5.14E-04
3,2.50E+00,5.15E-04
3,2.60E+00,5.15E-04
3,2.70E+00,5.16E-04
3,2.80E+00,5.17E-04
3,2.90E+00,5.18E-04
3,3.00E+00,5.18E-04
3,3.10E+00,5.19E-04
3,3.20E+00,5.20E-04
3,3.30E+00,5.21E-04
3,3.40E+00,5.21E-04
3,3.50E+00,5.22E-04
3,3.60E+00,5.23E-04
3,3.70E+00,5.24E-04
3,3.80E+00,5.24E-04
3,3.90E+00,5.25E-04
3,4.00E+00,5.26E-04
3,4.10E+00,5.26E-04
3,4.20E+00,5.27E-04
3,4.30E+00,5.28E-04
3,4.40E+00,5.28E-04
3,4.50E+00,5.29E-04
3,4.60E+00,5.30E-04
3,4.70E+00,5.30E-04
3,4.80E+00,5.31E-04
3,4.90E+00,5.32E-04
3,5.00E+00,5.32E-04
3,5.10E+00,5.33E-04
3,5.20E+00,5.34E-04
3,5.30E+00,5.34E-04
3,5.40E+00,5.35E-04
3,5.50E+00,5.36E-04
3,5.60E+00,5.36E-04
3,5.70E+00,5.37E-04
3,5.80E+00,5.37E-04
3,5.90E+00,5.38E-04
3,6.00E+00,5.39E-04
3,6.10E+00,5.39E-04
3,6.20E+00,5.40E-04
3,6.30E+00,5.41E-04
3,6.40E+00,5.41E-04
3,6.50E+00,5.42E-04
3,6.60E+00,5.42E-04
3,6.70E+00,5.43E-04
3,6.80E+00,5.44E-04
3,6.90E+00,5.44E-04
3,7.00E+00,5.45E-04
3,7.10E+00,5.45E-04
3,7.20E+00,5.46E-04
3,7.30E+00,5.46E-04
3,7.40E+00,5.47E-04
3,7.50E+00,5.48E-04
3,7.60E+00,5.48E-04
3,7.70E+00,5.49E-04
3,7.80E+00,5.49E-04
3,7.90E+00,5.50E-04
3,8.00E+00,5.51E-04
3,8.10E+00,5.51E-04
3,8.20E+00,5.52E-04
3,8.30E+00,5.52E-04
3,8.40E+00,5.53E-04
3,8.50E+00,5.53E-04
3,8.60E+00,5.54E-04
3,8.70E+00,5.54E-04
3,8.80E+00,5.55E-04
3,8.90E+00,5.56E-04
3,9.00E+00,5.56E-04
3,9.10E+00,5.57E-04
3,9.20E+00,5.57E-04
3,9.30E+00,5.58E-04
3,9.40E+00,5.58E-04
3,9.50E+00,5.59E-04
3,9.60E+00,5.59E-04
3,9.70E+00,5.60E-04
3,9.80E+00,5.61E-04
3,9.90E+00,5.61E-04
3,1.00E+01,5.62E-04
3,1.01E+01,5.62E-04
3,1.02E+01,5.63E-04
3,1.03E+01,5.63E-04
3,1.04E+01,5.64E-04
3,1.05E+01,5.64E-04
3,1.06E+01,5.65E-04
3,1.07E+01,5.65E-04
3,1.08E+01,5.66E-04
3,1.09E+01,5.66E-04
3,1.10E+01,5.67E-04
3,1.11E+01,5.67E-04
3,1.12E+01,5.68E-04
3,1.13E+01,5.69E-04
3,1.14E+01,5.69E-04
3,1.15E+01,5.70E-04
3,1.16E+01,5.70E-04
3,1.17E+01,5.71E-04
3,1.18E+01,5.71E-04
3,1.19E+01,5.72E-04
3,1.20E+01,5.72E-04
3,1.21E+01,5.73E-04
3,1.22E+01,5.73E-04
3,1.23E+01,5.74E-04
3,1.24E+01,5.74E-04
3,1.25E+01,5.75E-04
3,1.26E+01,5.75E-04
3,1.27E+01,5.76E-04
3,1.28E+01,5.76E-04
3,1.29E+01,5.77E-04
3,1.30E+01,5.77E-04
3,1.31E+01,5.78E-04
3,1.32E+01,5.78E-04
3,1.33E+01,5.79E-04
3,1.34E+01,5.79E-04
3,1.35E+01,5.80E-04
3,1.36E+01,5.80E-04
3,1.37E+01,5.81E-04
3,1.38E+01,5.81E-04
3,1.39E+01,5.82E-04
3,1.40E+01,5.82E-04
3,1.41E+01,5.83E-04
3,1.42E+01,5.83E-04
3,1.43E+01,5.84E-04
3,1.44E+01,5.84E-04
3,1.45E+01,5.85E-04
3,1.46E+01,5.85E-04
3,1.47E+01,5.86E-04
3,1.48E+01,5.86E-04
3,1.49E+01,5.87E-04
3,1.50E+01,5.87E-04
6,0.00E+00,-1.85E-15
6,1.00E-01,5.03E-05
6,2.00E-01,1.00E-04
6,3.00E-01,1.50E-04
6,4.00E-01,2.00E-04
6,5.00E-01,2.49E-04
6,6.00E-01,2.98E-04
6,7.00E-01,3.46E-04
6,8.00E-01,3.95E-04
6,9.00E-01,4.43E-04
6,1.00E+00,4.91E-04
6,1.10E+00,5.38E-04
6,1.20E+00,5.85E-04
6,1.30E+00,6.32E-04
6,1.40E+00,6.78E-04
6,1.50E+00,7.25E-04
6,1.60E+00,7.70E-04
6,1.70E+00,8.16E-04
6,1.80E+00,8.61E-04
6,1.90E+00,9.06E-04
6,2.00E+00,9.50E-04
6,2.10E+00,9.94E-04
6,2.20E+00,1.04E-03
6,2.30E+00,1.08E-03
6,2.40E+00,1.12E-03
6,2.50E+00,1.17E-03
6,2.60E+00,1.21E-03
6,2.70E+00,1.25E-03
6,2.80E+00,1.29E-03
6,2.90E+00,1.33E-03
6,3.00E+00,1.37E-03
6,3.10E+00,1.41E-03
6,3.20E+00,1.45E-03
6,3.30E+00,1.49E-03
6,3.40E+00,1.53E-03
6,3.50E+00,1.57E-03
6,3.60E+00,1.60E-03
6,3.70E+00,1.64E-03
6,3.80E+00,1.68E-03
6,3.90E+00,1.71E-03
6,4.00E+00,1.75E-03
6,4.10E+00,1.78E-03
6,4.20E+00,1.81E-03
6,4.30E+00,1.85E-03
6,4.40E+00,1.88E-03
6,4.50E+00,1.91E-03
6,4.60E+00,1.94E-03
6,4.70E+00,1.97E-03
6,4.80E+00,2.00E-03
6,4.90E+00,2.03E-03
6,5.00E+00,2.06E-03
6,5.10E+00,2.08E-03
6,5.20E+00,2.11E-03
6,5.30E+00,2.14E-03
6,5.40E+00,2.16E-03
6,5.50E+00,2.18E-03
6,5.60E+00,2.21E-03
6,5.70E+00,2.23E-03
6,5.80E+00,2.25E-03
6,5.90E+00,2.27E-03
6,6.00E+00,2.28E-03
6,6.10E+00,2.30E-03
6,6.20E+00,2.32E-03
6,6.30E+00,2.33E-03
6,6.40E+00,2.34E-03
6,6.50E+00,2.35E-03
6,6.60E+00,2.36E-03
6,6.70E+00,2.37E-03
6,6.80E+00,2.38E-03
6,6.90E+00,2.38E-03
6,7.00E+00,2.38E-03
6,7.10E+00,2.38E-03
6,7.20E+00,2.38E-03
6,7.30E+00,2.39E-03
6,7.40E+00,2.39E-03
6,7.50E+00,2.39E-03
6,7.60E+00,2.39E-03
6,7.70E+00,2.40E-03
6,7.80E+00,2.40E-03
6,7.90E+00,2.40E-03
6,8.00E+00,2.40E-03
6,8.10E+00,2.40E-03
6,8.20E+00,2.41E-03
6,8.30E+00,2.41E-03
6,8.40E+00,2.41E-03
6,8.50E+00,2.41E-03
6,8.60E+00,2.42E-03
6,8.70E+00,2.42E-03
6,8.80E+00,2.42E-03
6,8.90E+00,2.42E-03
6,9.00E+00,2.42E-03
6,9.10E+00,2.43E-03
6,9.20E+00,2.43E-03
6,9.30E+00,2.43E-03
6,9.40E+00,2.43E-03
6,9.50E+00,2.43E-03
6,9.60E+00,2.44E-03
6,9.70E+00,2.44E-03
6,9.80E+00,2.44E-03
6,9.90E+00,2.44E-03
6,1.00E+01,2.44E-03
6,1.01E+01,2.45E-03
6,1.02E+01,2.45E-03
6,1.03E+01,2.45E-03
6,1.04E+01,2.45E-03
6,1.05E+01,2.45E-03
6,1.06E+01,2.46E-03
6,1.07E+01,2.46E-03
6,1.08E+01,2.46E-03
6,1.09E+01,2.46E-03
6,1.10E+01,2.46E-03
6,1.11E+01,2.47E-03
6,1.12E+01,2.47E-03
6,1.13E+01,2.47E-03
6,1.14E+01,2.47E-03
6,1.15E+01,2.47E-03
6,1.16E+01,2.48E-03
6,1.17E+01,2.48E-03
6,1.18E+01,2.48E-03
6,1.19E+01,2.48E-03
6,1.20E+01,2.48E-03
6,1.21E+01,2.49E-03
6,1.22E+01,2.49E-03
6,1.23E+01,2.49E-03
6,1.24E+01,2.49E-03
6,1.25E+01,2.49E-03
6,1.26E+01,2.50E-03
6,1.27E+01,2.50E-03
6,1.28E+01,2.50E-03
6,1.29E+01,2.50E-03
6,1.30E+01,2.50E-03
6,1.31E+01,2.51E-03
6,1.32E+01,2.51E-03
6,1.33E+01,2.51E-03
6,1.34E+01,2.51E-03
6,1.35E+01,2.51E-03
6,1.36E+01,2.52E-03
6,1.37E+01,2.52E-03
6,1.38E+01,2.52E-03
6,1.39E+01,2.52E-03
6,1.40E+01,2.52E-03
6,1.41E+01,2.53E-03
6,1.42E+01,2.53E-03
6,1.43E+01,2.53E-03
6,1.44E+01,2.53E-03
6,1.45E+01,2.53E-03
6,1.46E+01,2.53E-03
6,1.47E+01,2.54E-03
6,1.48E+01,2.54E-03
6,1.49E+01,2.54E-03
6,1.50E+01,2.54E-03