vsg,vsd,irg
1,0.00E+00,-9.48E-19
1,1.00E-02,8.93E-07
1,2.00E-02,1.75E-06
1,3.00E-02,2.58E-06
1,4.00E-02,3.38E-06
1,5.00E-02,4.14E-06
1,6.00E-02,4.87E-06
1,7.00E-02,5.56E-06
1,8.00E-02,6.22E-06
1,9.00E-02,6.84E-06
1,1.00E-01,7.42E-06
1,1.10E-01,7.96E-06
1,1.20E-01,8.47E-06
1,1.30E-01,8.94E-06
1,1.40E-01,9.38E-06
1,1.50E-01,9.77E-06
1,1.60E-01,1.01E-05
1,1.70E-01,1.04E-05
1,1.80E-01,1.07E-05
1,1.90E-01,1.09E-05
1,2.00E-01,1.11E-05
1,2.10E-01,1.13E-05
1,2.20E-01,1.14E-05
1,2.30E-01,1.15E-05
1,2.40E-01,1.15E-05
1,2.50E-01,1.15E-05
1,2.60E-01,1.15E-05
1,2.70E-01,1.16E-05
1,2.80E-01,1.16E-05
1,2.90E-01,1.16E-05
1,3.00E-01,1.16E-05
1,3.10E-01,1.17E-05
1,3.20E-01,1.17E-05
1,3.30E-01,1.17E-05
1,3.40E-01,1.17E-05
1,3.50E-01,1.18E-05
1,3.60E-01,1.18E-05
1,3.70E-01,1.18E-05
1,3.80E-01,1.18E-05
1,3.90E-01,1.18E-05
1,4.00E-01,1.19E-05
1,4.10E-01,1.19E-05
1,4.20E-01,1.19E-05
1,4.30E-01,1.19E-05
1,4.40E-01,1.20E-05
1,4.50E-01,1.20E-05
1,4.60E-01,1.20E-05
1,4.70E-01,1.20E-05
1,4.80E-01,1.20E-05
1,4.90E-01,1.21E-05
1,5.00E-01,1.21E-05
1,5.10E-01,1.21E-05
1,5.20E-01,1.21E-05
1,5.30E-01,1.21E-05
1,5.40E-01,1.22E-05
1,5.50E-01,1.22E-05
1,5.60E-01,1.22E-05
1,5.70E-01,1.22E-05
1,5.80E-01,1.22E-05
1,5.90E-01,1.22E-05
1,6.00E-01,1.23E-05
1,6.10E-01,1.23E-05
1,6.20E-01,1.23E-05
1,6.30E-01,1.23E-05
1,6.40E-01,1.23E-05
1,6.50E-01,1.24E-05
1,6.60E-01,1.24E-05
1,6.70E-01,1.24E-05
1,6.80E-01,1.24E-05
1,6.90E-01,1.24E-05
1,7.00E-01,1.24E-05
1,7.10E-01,1.25E-05
1,7.20E-01,1.25E-05
1,7.30E-01,1.25E-05
1,7.40E-01,1.25E-05
1,7.50E-01,1.25E-05
1,7.60E-01,1.25E-05
1,7.70E-01,1.26E-05
1,7.80E-01,1.26E-05
1,7.90E-01,1.26E-05
1,8.00E-01,1.26E-05
1,8.10E-01,1.26E-05
1,8.20E-01,1.26E-05
1,8.30E-01,1.27E-05
1,8.40E-01,1.27E-05
1,8.50E-01,1.27E-05
1,8.60E-01,1.27E-05
1,8.70E-01,1.27E-05
1,8.80E-01,1.27E-05
1,8.90E-01,1.28E-05
1,9.00E-01,1.28E-05
1,9.10E-01,1.28E-05
1,9.20E-01,1.28E-05
1,9.30E-01,1.28E-05
1,9.40E-01,1.28E-05
1,9.50E-01,1.28E-05
1,9.60E-01,1.29E-05
1,9.70E-01,1.29E-05
1,9.80E-01,1.29E-05
1,9.90E-01,1.29E-05
1,1.00E+00,1.29E-05
1,1.01E+00,1.29E-05
1,1.02E+00,1.30E-05
1,1.03E+00,1.30E-05
1,1.04E+00,1.30E-05
1,1.05E+00,1.30E-05
1,1.06E+00,1.30E-05
1,1.07E+00,1.30E-05
1,1.08E+00,1.30E-05
1,1.09E+00,1.30E-05
1,1.10E+00,1.31E-05
1,1.11E+00,1.31E-05
1,1.12E+00,1.31E-05
1,1.13E+00,1.31E-05
1,1.14E+00,1.31E-05
1,1.15E+00,1.31E-05
1,1.16E+00,1.31E-05
1,1.17E+00,1.32E-05
1,1.18E+00,1.32E-05
1,1.19E+00,1.32E-05
1,1.20E+00,1.32E-05
1,1.21E+00,1.32E-05
1,1.22E+00,1.32E-05
1,1.23E+00,1.32E-05
1,1.24E+00,1.33E-05
1,1.25E+00,1.33E-05
1,1.26E+00,1.33E-05
1,1.27E+00,1.33E-05
1,1.28E+00,1.33E-05
1,1.29E+00,1.33E-05
1,1.30E+00,1.33E-05
1,1.31E+00,1.33E-05
1,1.32E+00,1.34E-05
1,1.33E+00,1.34E-05
1,1.34E+00,1.34E-05
1,1.35E+00,1.34E-05
1,1.36E+00,1.34E-05
1,1.37E+00,1.34E-05
1,1.38E+00,1.34E-05
1,1.39E+00,1.34E-05
1,1.40E+00,1.35E-05
1,1.41E+00,1.35E-05
1,1.42E+00,1.35E-05
1,1.43E+00,1.35E-05
1,1.44E+00,1.35E-05
1,1.45E+00,1.35E-05
1,1.46E+00,1.35E-05
1,1.47E+00,1.35E-05
1,1.48E+00,1.35E-05
1,1.49E+00,1.36E-05
1,1.50E+00,1.36E-05
1,1.51E+00,1.36E-05
1,1.52E+00,1.36E-05
1,1.53E+00,1.36E-05
1,1.54E+00,1.36E-05
1,1.55E+00,1.36E-05
1,1.56E+00,1.36E-05
1,1.57E+00,1.37E-05
1,1.58E+00,1.37E-05
1,1.59E+00,1.37E-05
1,1.60E+00,1.37E-05
1,1.61E+00,1.37E-05
1,1.62E+00,1.37E-05
1,1.63E+00,1.37E-05
1,1.64E+00,1.37E-05
1,1.65E+00,1.37E-05
1,1.66E+00,1.38E-05
1,1.67E+00,1.38E-05
1,1.68E+00,1.38E-05
1,1.69E+00,1.38E-05
1,1.70E+00,1.38E-05
1,1.71E+00,1.38E-05
1,1.72E+00,1.38E-05
1,1.73E+00,1.38E-05
1,1.74E+00,1.38E-05
1,1.75E+00,1.38E-05
1,1.76E+00,1.39E-05
1,1.77E+00,1.39E-05
1,1.78E+00,1.39E-05
1,1.79E+00,1.39E-05
1,1.80E+00,1.39E-05
1,1.81E+00,1.39E-05
1,1.82E+00,1.39E-05
1,1.83E+00,1.39E-05
1,1.84E+00,1.39E-05
1,1.85E+00,1.40E-05
1,1.86E+00,1.40E-05
1,1.87E+00,1.40E-05
1,1.88E+00,1.40E-05
1,1.89E+00,1.40E-05
1,1.90E+00,1.40E-05
1,1.91E+00,1.40E-05
1,1.92E+00,1.40E-05
1,1.93E+00,1.40E-05
1,1.94E+00,1.40E-05
1,1.95E+00,1.41E-05
1,1.96E+00,1.41E-05
1,1.97E+00,1.41E-05
1,1.98E+00,1.41E-05
1,1.99E+00,1.41E-05
1,2.00E+00,1.41E-05
1,2.01E+00,1.41E-05
1,2.02E+00,1.41E-05
1,2.03E+00,1.41E-05
1,2.04E+00,1.41E-05
1,2.05E+00,1.42E-05
1,2.06E+00,1.42E-05
1,2.07E+00,1.42E-05
1,2.08E+00,1.42E-05
1,2.09E+00,1.42E-05
1,2.10E+00,1.42E-05
1,2.11E+00,1.42E-05
1,2.12E+00,1.42E-05
1,2.13E+00,1.42E-05
1,2.14E+00,1.42E-05
1,2.15E+00,1.43E-05
1,2.16E+00,1.43E-05
1,2.17E+00,1.43E-05
1,2.18E+00,1.43E-05
1,2.19E+00,1.43E-05
1,2.20E+00,1.43E-05
1,2.21E+00,1.43E-05
1,2.22E+00,1.43E-05
1,2.23E+00,1.43E-05
1,2.24E+00,1.43E-05
1,2.25E+00,1.43E-05
1,2.26E+00,1.44E-05
1,2.27E+00,1.44E-05
1,2.28E+00,1.44E-05
1,2.29E+00,1.44E-05
1,2.30E+00,1.44E-05
1,2.31E+00,1.44E-05
1,2.32E+00,1.44E-05
1,2.33E+00,1.44E-05
1,2.34E+00,1.44E-05
1,2.35E+00,1.44E-05
1,2.36E+00,1.44E-05
1,2.37E+00,1.45E-05
1,2.38E+00,1.45E-05
1,2.39E+00,1.45E-05
1,2.40E+00,1.45E-05
1,2.41E+00,1.45E-05
1,2.42E+00,1.45E-05
1,2.43E+00,1.45E-05
1,2.44E+00,1.45E-05
1,2.45E+00,1.45E-05
1,2.46E+00,1.45E-05
1,2.47E+00,1.45E-05
1,2.48E+00,1.46E-05
1,2.49E+00,1.46E-05
1,2.50E+00,1.46E-05
1,2.51E+00,1.46E-05
1,2.52E+00,1.46E-05
1,2.53E+00,1.46E-05
1,2.54E+00,1.46E-05
1,2.55E+00,1.46E-05
1,2.56E+00,1.46E-05
1,2.57E+00,1.46E-05
1,2.58E+00,1.46E-05
1,2.59E+00,1.47E-05
1,2.60E+00,1.47E-05
1,2.61E+00,1.47E-05
1,2.62E+00,1.47E-05
1,2.63E+00,1.47E-05
1,2.64E+00,1.47E-05
1,2.65E+00,1.47E-05
1,2.66E+00,1.47E-05
1,2.67E+00,1.47E-05
1,2.68E+00,1.47E-05
1,2.69E+00,1.47E-05
1,2.70E+00,1.47E-05
1,2.71E+00,1.48E-05
1,2.72E+00,1.48E-05
1,2.73E+00,1.48E-05
1,2.74E+00,1.48E-05
1,2.75E+00,1.48E-05
1,2.76E+00,1.48E-05
1,2.77E+00,1.48E-05
1,2.78E+00,1.48E-05
1,2.79E+00,1.48E-05
1,2.80E+00,1.48E-05
1,2.81E+00,1.48E-05
1,2.82E+00,1.48E-05
1,2.83E+00,1.49E-05
1,2.84E+00,1.49E-05
1,2.85E+00,1.49E-05
1,2.86E+00,1.49E-05
1,2.87E+00,1.49E-05
1,2.88E+00,1.49E-05
1,2.89E+00,1.49E-05
1,2.90E+00,1.49E-05
1,2.91E+00,1.49E-05
1,2.92E+00,1.49E-05
1,2.93E+00,1.49E-05
1,2.94E+00,1.49E-05
1,2.95E+00,1.49E-05
1,2.96E+00,1.50E-05
1,2.97E+00,1.50E-05
1,2.98E+00,1.50E-05
1,2.99E+00,1.50E-05
1,3.00E+00,1.50E-05
1,3.01E+00,1.50E-05
1,3.02E+00,1.50E-05
1,3.03E+00,1.50E-05
1,3.04E+00,1.50E-05
1,3.05E+00,1.50E-05
1,3.06E+00,1.50E-05
1,3.07E+00,1.50E-05
1,3.08E+00,1.51E-05
1,3.09E+00,1.51E-05
1,3.10E+00,1.51E-05
1,3.11E+00,1.51E-05
1,3.12E+00,1.51E-05
1,3.13E+00,1.51E-05
1,3.14E+00,1.51E-05
1,3.15E+00,1.51E-05
1,3.16E+00,1.51E-05
1,3.17E+00,1.51E-05
1,3.18E+00,1.51E-05
1,3.19E+00,1.51E-05
1,3.20E+00,1.51E-05
1,3.21E+00,1.52E-05
1,3.22E+00,1.52E-05
1,3.23E+00,1.52E-05
1,3.24E+00,1.52E-05
1,3.25E+00,1.52E-05
1,3.26E+00,1.52E-05
1,3.27E+00,1.52E-05
1,3.28E+00,1.52E-05
1,3.29E+00,1.52E-05
1,3.30E+00,1.52E-05
1,3.31E+00,1.52E-05
1,3.32E+00,1.52E-05
1,3.33E+00,1.52E-05
1,3.34E+00,1.52E-05
1,3.35E+00,1.53E-05
1,3.36E+00,1.53E-05
1,3.37E+00,1.53E-05
1,3.38E+00,1.53E-05
1,3.39E+00,1.53E-05
1,3.40E+00,1.53E-05
1,3.41E+00,1.53E-05
1,3.42E+00,1.53E-05
1,3.43E+00,1.53E-05
1,3.44E+00,1.53E-05
1,3.45E+00,1.53E-05
1,3.46E+00,1.53E-05
1,3.47E+00,1.53E-05
1,3.48E+00,1.54E-05
1,3.49E+00,1.54E-05
1,3.50E+00,1.54E-05
1,3.51E+00,1.54E-05
1,3.52E+00,1.54E-05
1,3.53E+00,1.54E-05
1,3.54E+00,1.54E-05
1,3.55E+00,1.54E-05
1,3.56E+00,1.54E-05
1,3.57E+00,1.54E-05
1,3.58E+00,1.54E-05
1,3.59E+00,1.54E-05
1,3.60E+00,1.54E-05
1,3.61E+00,1.54E-05
1,3.62E+00,1.55E-05
1,3.63E+00,1.55E-05
1,3.64E+00,1.55E-05
1,3.65E+00,1.55E-05
1,3.66E+00,1.55E-05
1,3.67E+00,1.55E-05
1,3.68E+00,1.55E-05
1,3.69E+00,1.55E-05
1,3.70E+00,1.55E-05
1,3.71E+00,1.55E-05
1,3.72E+00,1.55E-05
1,3.73E+00,1.55E-05
1,3.74E+00,1.55E-05
1,3.75E+00,1.55E-05
1,3.76E+00,1.56E-05
1,3.77E+00,1.56E-05
1,3.78E+00,1.56E-05
1,3.79E+00,1.56E-05
1,3.80E+00,1.56E-05
1,3.81E+00,1.56E-05
1,3.82E+00,1.56E-05
1,3.83E+00,1.56E-05
1,3.84E+00,1.56E-05
1,3.85E+00,1.56E-05
1,3.86E+00,1.56E-05
1,3.87E+00,1.56E-05
1,3.88E+00,1.56E-05
1,3.89E+00,1.56E-05
1,3.90E+00,1.57E-05
1,3.91E+00,1.57E-05
1,3.92E+00,1.57E-05
1,3.93E+00,1.57E-05
1,3.94E+00,1.57E-05
1,3.95E+00,1.57E-05
1,3.96E+00,1.57E-05
1,3.97E+00,1.57E-05
1,3.98E+00,1.57E-05
1,3.99E+00,1.57E-05
1,4.00E+00,1.57E-05
1,4.01E+00,1.57E-05
1,4.02E+00,1.57E-05
1,4.03E+00,1.57E-05
1,4.04E+00,1.57E-05
1,4.05E+00,1.58E-05
1,4.06E+00,1.58E-05
1,4.07E+00,1.58E-05
1,4.08E+00,1.58E-05
1,4.09E+00,1.58E-05
1,4.10E+00,1.58E-05
1,4.11E+00,1.58E-05
1,4.12E+00,1.58E-05
1,4.13E+00,1.58E-05
1,4.14E+00,1.58E-05
1,4.15E+00,1.58E-05
1,4.16E+00,1.58E-05
1,4.17E+00,1.58E-05
1,4.18E+00,1.58E-05
1,4.19E+00,1.58E-05
1,4.20E+00,1.59E-05
1,4.21E+00,1.59E-05
1,4.22E+00,1.59E-05
1,4.23E+00,1.59E-05
1,4.24E+00,1.59E-05
1,4.25E+00,1.59E-05
1,4.26E+00,1.59E-05
1,4.27E+00,1.59E-05
1,4.28E+00,1.59E-05
1,4.29E+00,1.59E-05
1,4.30E+00,1.59E-05
1,4.31E+00,1.59E-05
1,4.32E+00,1.59E-05
1,4.33E+00,1.59E-05
1,4.34E+00,1.59E-05
1,4.35E+00,1.59E-05
1,4.36E+00,1.60E-05
1,4.37E+00,1.60E-05
1,4.38E+00,1.60E-05
1,4.39E+00,1.60E-05
1,4.40E+00,1.60E-05
1,4.41E+00,1.60E-05
1,4.42E+00,1.60E-05
1,4.43E+00,1.60E-05
1,4.44E+00,1.60E-05
1,4.45E+00,1.60E-05
1,4.46E+00,1.60E-05
1,4.47E+00,1.60E-05
1,4.48E+00,1.60E-05
1,4.49E+00,1.60E-05
1,4.50E+00,1.60E-05
1,4.51E+00,1.61E-05
1,4.52E+00,1.61E-05
1,4.53E+00,1.61E-05
1,4.54E+00,1.61E-05
1,4.55E+00,1.61E-05
1,4.56E+00,1.61E-05
1,4.57E+00,1.61E-05
1,4.58E+00,1.61E-05
1,4.59E+00,1.61E-05
1,4.60E+00,1.61E-05
1,4.61E+00,1.61E-05
1,4.62E+00,1.61E-05
1,4.63E+00,1.61E-05
1,4.64E+00,1.61E-05
1,4.65E+00,1.61E-05
1,4.66E+00,1.61E-05
1,4.67E+00,1.62E-05
1,4.68E+00,1.62E-05
1,4.69E+00,1.62E-05
1,4.70E+00,1.62E-05
1,4.71E+00,1.62E-05
1,4.72E+00,1.62E-05
1,4.73E+00,1.62E-05
1,4.74E+00,1.62E-05
1,4.75E+00,1.62E-05
1,4.76E+00,1.62E-05
1,4.77E+00,1.62E-05
1,4.78E+00,1.62E-05
1,4.79E+00,1.62E-05
1,4.80E+00,1.62E-05
1,4.81E+00,1.62E-05
1,4.82E+00,1.62E-05
1,4.83E+00,1.63E-05
1,4.84E+00,1.63E-05
1,4.85E+00,1.63E-05
1,4.86E+00,1.63E-05
1,4.87E+00,1.63E-05
1,4.88E+00,1.63E-05
1,4.89E+00,1.63E-05
1,4.90E+00,1.63E-05
1,4.91E+00,1.63E-05
1,4.92E+00,1.63E-05
1,4.93E+00,1.63E-05
1,4.94E+00,1.63E-05
1,4.95E+00,1.63E-05
1,4.96E+00,1.63E-05
1,4.97E+00,1.63E-05
1,4.98E+00,1.63E-05
1,4.99E+00,1.63E-05
1,5.00E+00,1.64E-05
1,5.01E+00,1.64E-05
1,5.02E+00,1.64E-05
1,5.03E+00,1.64E-05
1,5.04E+00,1.64E-05
1,5.05E+00,1.64E-05
1,5.06E+00,1.64E-05
1,5.07E+00,1.64E-05
1,5.08E+00,1.64E-05
1,5.09E+00,1.64E-05
1,5.10E+00,1.64E-05
1,5.11E+00,1.64E-05
1,5.12E+00,1.64E-05
1,5.13E+00,1.64E-05
1,5.14E+00,1.64E-05
1,5.15E+00,1.64E-05
1,5.16E+00,1.64E-05
1,5.17E+00,1.65E-05
1,5.18E+00,1.65E-05
1,5.19E+00,1.65E-05
1,5.20E+00,1.65E-05
1,5.21E+00,1.65E-05
1,5.22E+00,1.65E-05
1,5.23E+00,1.65E-05
1,5.24E+00,1.65E-05
1,5.25E+00,1.65E-05
1,5.26E+00,1.65E-05
1,5.27E+00,1.65E-05
1,5.28E+00,1.65E-05
1,5.29E+00,1.65E-05
1,5.30E+00,1.65E-05
1,5.31E+00,1.65E-05
1,5.32E+00,1.65E-05
1,5.33E+00,1.65E-05
1,5.34E+00,1.66E-05
1,5.35E+00,1.66E-05
1,5.36E+00,1.66E-05
1,5.37E+00,1.66E-05
1,5.38E+00,1.66E-05
1,5.39E+00,1.66E-05
1,5.40E+00,1.66E-05
1,5.41E+00,1.66E-05
1,5.42E+00,1.66E-05
1,5.43E+00,1.66E-05
1,5.44E+00,1.66E-05
1,5.45E+00,1.66E-05
1,5.46E+00,1.66E-05
1,5.47E+00,1.66E-05
1,5.48E+00,1.66E-05
1,5.49E+00,1.66E-05
1,5.50E+00,1.66E-05
1,5.51E+00,1.67E-05
1,5.52E+00,1.67E-05
1,5.53E+00,1.67E-05
1,5.54E+00,1.67E-05
1,5.55E+00,1.67E-05
1,5.56E+00,1.67E-05
1,5.57E+00,1.67E-05
1,5.58E+00,1.67E-05
1,5.59E+00,1.67E-05
1,5.60E+00,1.67E-05
1,5.61E+00,1.67E-05
1,5.62E+00,1.67E-05
1,5.63E+00,1.67E-05
1,5.64E+00,1.67E-05
1,5.65E+00,1.67E-05
1,5.66E+00,1.67E-05
1,5.67E+00,1.67E-05
1,5.68E+00,1.67E-05
1,5.69E+00,1.68E-05
1,5.70E+00,1.68E-05
1,5.71E+00,1.68E-05
1,5.72E+00,1.68E-05
1,5.73E+00,1.68E-05
1,5.74E+00,1.68E-05
1,5.75E+00,1.68E-05
1,5.76E+00,1.68E-05
1,5.77E+00,1.68E-05
1,5.78E+00,1.68E-05
1,5.79E+00,1.68E-05
1,5.80E+00,1.68E-05
1,5.81E+00,1.68E-05
1,5.82E+00,1.68E-05
1,5.83E+00,1.68E-05
1,5.84E+00,1.68E-05
1,5.85E+00,1.68E-05
1,5.86E+00,1.68E-05
1,5.87E+00,1.69E-05
1,5.88E+00,1.69E-05
1,5.89E+00,1.69E-05
1,5.90E+00,1.69E-05
1,5.91E+00,1.69E-05
1,5.92E+00,1.69E-05
1,5.93E+00,1.69E-05
1,5.94E+00,1.69E-05
1,5.95E+00,1.69E-05
1,5.96E+00,1.69E-05
1,5.97E+00,1.69E-05
1,5.98E+00,1.69E-05
1,5.99E+00,1.69E-05
